,,,,,,
,ZipCode,Population,Number of Households,Median Income,Average Income,
,98001,"35,297","11,820","$95,605.00","$116,400.00",
,98002,"35,915","14,012","$59,742.00","$72,627.00",
,98003,"50,501","18,988","$63,289.00","$79,484.00",
,98004,"38,632","18,125","$154,403.00","$225,776.00",
,98005,"21,603","8,732","$145,152.00","$192,522.00",
,98006,"39,595","13,782","$170,328.00","$219,290.00",
,98007,"28,576","11,770","$111,361.00","$143,079.00",
,98008,"26,091","9,233","$147,788.00","$192,525.00",
,98010,"5,963","2,280","$132,540.00","$156,016.00",
,98011,"27,396","11,133","$107,109.00","$125,659.00",
,98014,"7,736","2,842","$123,982.00","$163,550.00",
,98019,"11,290","3,903","$145,655.00","$162,381.00",
,98022,"22,007","8,697","$101,591.00","$123,489.00",
,98023,"51,811","17,896","$87,820.00","$107,201.00",
,98024,"5,503","1,976","$145,750.00","$157,632.00",
,98027,"27,808","11,294","$128,556.00","$174,800.00",
,98028,"23,556","9,266","$121,463.00","$155,089.00",
,98029,"31,480","12,362","$144,880.00","$196,545.00",
,98030,"39,526","13,134","$77,521.00","$92,537.00",
,98031,"41,464","13,716","$89,882.00","$110,442.00",
,98032,"38,985","14,195","$69,437.00","$91,788.00",
,98033,"39,726","16,773","$149,131.00","$215,502.00",
,98034,"52,841","20,706","$111,002.00","$140,115.00",
,98038,"37,624","12,733","$124,164.00","$143,500.00",
,98039,"2,928","1,054","$208,500.00","$379,331.00",
,98040,"25,506","9,758","$170,000.00","$261,417.00",
,98042,"48,639","16,602","$113,579.00","$136,102.00",
,98045,"15,611","5,704","$123,651.00","$154,526.00",
,98047,"7,024","2,293","$68,965.00","$87,690.00",
,98051,"4,272","1,560","$98,049.00","$105,086.00",
,98052,"75,765","30,181","$149,492.00","$181,042.00",
,98053,"22,857","8,458","$160,208.00","$228,076.00",
,98055,"24,668","9,351","$83,621.00","$97,375.00",
,98056,"36,950","14,449","$95,088.00","$127,910.00",
,98057,"12,351","5,951","$62,469.00","$90,052.00",
,98058,"42,366","15,449","$98,648.00","$116,847.00",
,98059,"41,076","14,319","$113,618.00","$161,626.00",
,98065,"15,779","5,200","$162,833.00","$185,607.00",
,98068,551,295,"$104,476.00","$127,049.00",
,98070,"10,886","4,579","$94,123.00","$133,743.00",
,98072,"24,931","9,748","$140,906.00","$179,198.00",
,98074,"30,370","9,811","$207,341.00","$237,992.00",
,98075,"25,762","8,241","$216,337.00","$263,094.00",
,98077,"13,862","4,636","$164,148.00","$234,583.00",
,98092,"50,845","17,170","$101,725.00","$123,602.00",
,98101,"14,528","10,127","$96,893.00","$129,697.00",
,98102,"25,396","15,755","$102,466.00","$139,032.00",
,98103,"52,210","25,283","$113,443.00","$148,226.00",
,98104,"14,469","8,299","$60,955.00","$91,112.00",
,98105,"49,448","16,760","$73,343.00","$148,522.00",
,98106,"27,489","11,227","$84,506.00","$107,754.00",
,98107,"27,116","14,647","$113,531.00","$148,174.00",
,98108,"23,759","8,367","$74,985.00","$110,588.00",
,98109,"29,376","18,072","$111,059.00","$145,246.00",
,98112,"24,412","10,938","$133,267.00","$226,062.00",
,98115,"53,729","22,557","$128,443.00","$169,791.00",
,98116,"27,190","12,698","$124,795.00","$160,792.00",
,98117,"36,365","14,802","$146,887.00","$181,417.00",
,98118,"48,937","17,853","$94,790.00","$128,842.00",
,98119,"26,094","13,726","$106,245.00","$157,346.00",
,98121,"21,010","13,659","$135,823.00","$152,514.00",
,98122,"41,541","21,383","$87,418.00","$133,044.00",
,98125,"43,386","19,336","$82,439.00","$112,078.00",
,98126,"22,030","9,928","$97,368.00","$126,763.00",
,98133,"50,153","22,365","$77,602.00","$102,241.00",
,98134,808,246,"$64,375.00","$87,146.00",
,98136,"17,245","7,829","$130,978.00","$154,746.00",
,98144,"31,648","14,195","$90,239.00","$142,673.00",
,98146,"27,879","10,306","$91,667.00","$114,933.00",
,98148,"11,068","4,117","$77,490.00","$100,384.00",
,98155,"36,081","13,790","$109,731.00","$133,576.00",
,98164,250,157,"$250,001.00","$272,725.00",
,98166,"22,599","9,131","$102,994.00","$133,714.00",
,98168,"34,614","12,220","$71,977.00","$89,946.00",
,98177,"20,561","7,994","$138,401.00","$172,228.00",
,98178,"26,282","9,531","$87,788.00","$117,289.00",
,98354,"8,185","3,212","$82,125.00","$95,496.00",
,98188,"27,524","10,873","$71,223.00","$93,852.00",
,98195,"2,259",0,$0.00,$0.00,
,98198,"38,919","14,376","$69,833.00","$94,390.00",
,98199,"22,890","10,186","$148,878.00","$183,575.00",
,98224,203,102,"$65,417.00","$71,377.00",
,98288,254,91,$0.00,"$96,440.00",
